artist, popularity
dj katapila,3.0
fake boyfriend,0.0
immix ensemble & vessel,49.0
the range,18.0
lpsley,52.0
m. ward,48.0
big ups,19.0
methyl ethel,40.0
iggy pop,61.0
fatima al qadiri,25.0
tiga,49.0
jealousy,6.0
carter tanton,8.0
glitterbust,0.0
lil wayne,88.0
the big pink,29.0
wussy,24.0
tokimonsta,53.0
kendrick lamar,97.0
polia,47.0
mothers,43.0
kane strang,27.0
anna meredith,29.0
el guincho,58.0
thao & the get down stay down,34.0
jennifer o'connor,18.0
esperanza spalding,48.0
soulwax,50.0
sarah neufeld,26.0
mikael seifu,3.0
yndi halda,19.0
loretta lynn,56.0
violent femmes,58.0
heron oblivion,7.0
anenon,24.0
oranssi pazuzu,34.0
thug entrancer,0.0
la sera,29.0
quelle chris,41.0
kedr livanskiy,38.0
lnzndrf,11.0
mr. fingers,38.0
hxlt,8.0
quilt,22.0
especia,14.0
hop along,39.0
rome fortune,47.0
yuck,38.0
na,73.0
macklemore,78.0
ryan lewis,68.0
lucy dacus,69.0
guerilla toss,29.0
glenn kotche,8.0
so percussion,27.0
the 1975,78.0
bj the chicago kid,60.0
john cale,47.0
prins thomas,35.0
waco brothers,14.0
amthst,0.0
crater,39.0
santigold,66.0
yo gotti,65.0
the snails,19.0
the dirty nil,38.0
james holden,40.0
luke abbott,30.0
cavern of anti-matter,23.0
teen,51.0
death index,1.0
venetian snares,38.0
jesu,74.0
sun kil moon,49.0
seth bogart,7.0
ra ra riot,44.0
anna homler,15.0
steve moshier,6.0
rangda,2.0
wild nothing,47.0
matmos,22.0
mavis staples,50.0
jack garratt,44.0
michael nau,53.0
moodymann,45.0
mount moriah,17.0
lushlife,20.0
brood ma,0.0
benny hester,20.0
animal collective,50.0
africaine 808,10.0
so pitted,5.0
rokia traor,41.0
why khaliq,6.0
kanye west,92.0
the skiffle players,6.0
cfcf,35.0
daniel wohl,7.0
eight bells,2.0
wiz khalifa,83.0
sioux falls,15.0
two inch astronaut,12.0
moomin,36.0
abi reimold,1.0
knxwledge,58.0
lissie,53.0
elliott smith,66.0
pinegrove,66.0
sicko mobb,12.0
aluk todolo,12.0
school of seven bells,32.0
nonkeen,24.0
gogo penguin,47.0
foxes,62.0
vic spencer,25.0
chris crack,36.0
milk n cookies,24.0
jeb loy nichols,34.0
essaie pas,24.0
eric prydz,65.0
cross record,19.0
nap eyes,27.0
alex smoke,15.0
djds,35.0
black moth super rainbow,43.0
freakwater,15.0
charlie puth,80.0
king,79.0
chester watson,38.0
diiv,51.0
majid jordan,68.0
field music,26.0
black tusk,26.0
a pleasure,0.0
rihanna,92.0
lucinda williams,51.0
saul williams,40.0
lion babe,45.0
african head charge,30.0
sunflower bean,43.0
surgeon,28.0
benji hughes,35.0
sia,85.0
lee hazlewood,49.0
money,75.0
conrad keely,2.0
basement,60.0
bloc party,62.0
nevermen,22.0
roly porter,17.0
cian nugent,6.0
wet,57.0
tindersticks,48.0
this heat,27.0
charlie hilton,10.0
majical cloudz,40.0
shearwater,34.0
florist,51.0
pop. 1280,5.0
adrian younge,45.0
daz dillinger,47.0
chairlift,43.0
eleanor friedberger,17.0
suede,60.0
number girl,39.0
the high llamas,28.0
ty segall,48.0
tortoise,37.0
allan kingdom,44.0
fat white family,38.0
daughter,62.0
savages,30.0
albert ayler,28.0
the besnard lakes,18.0
lucrecia dalt,33.0
dust,67.0
kelela,54.0
timbaland,79.0
mila j,54.0
bloodiest,1.0
busta rhymes,72.0
7 year bitch,29.0
lil bibby,44.0
lycus,3.0
petal,26.0
wall,72.0
richie hawtin,39.0
witchcraft,42.0
cozz,50.0
lil b,87.0
fingers inc.,15.0
villagers,52.0
paper days,0.0
guy blakeslee,7.0
anderson .paak,77.0
julia brown,29.0
mood ii swing,46.0
coldair,1.0
dylan leblanc,41.0
jimi tents,20.0
craw,46.0
young marco,39.0
chief keef,77.0
willow,71.0
mikael tariverdiev,36.0
kyle hall,15.0
odd nosdam,30.0
ches smith,20.0
ennio morricone,66.0
hinds,46.0
august alsina,62.0
the soft pink truth,16.0
gag,94.0
pusha t,72.0
teenage jesus & the jerks,12.0
archy marshall,35.0
wiki,44.0
harmonia,29.0
the spook school,25.0
baroness,44.0
rick ross,77.0
pimp c,51.0
g-eazy,78.0
ema,50.0
gum,56.0
bing & ruth,35.0
deantoni parks,19.0
the velvet underground,63.0
jennylee,25.0
nadia reid,43.0
stephan mathieu,12.0
cassie ramone,10.0
laddio bolocko,11.0
coldplay,91.0
zora jones,25.0
lubomyr melnyk,26.0
sunn o))),32.0
pope francis,5.0
babyface,58.0
magic circle,10.0
diggs duke,26.0
sophie,49.0
jlin,26.0
jadakiss,64.0
junglepussy,37.0
goldlink,64.0
danny l harle,44.0
gloria ann taylor,28.0
the blue jean committee,18.0
foo fighters,77.0
beat happening,31.0
muja messiah,24.0
i self devine,6.0
paranoid london,27.0
john coltrane,66.0
doug hream blunt,22.0
punch brothers,43.0
the flaming lips,55.0
dj paypal,19.0
andr bratten,23.0
krieg,10.0
horrendous,22.0
adele,86.0
natalie prass,35.0
kneebody and daedelus,36.0
joey anderson,0.0
dragged into sunlight / gnaw their tongues,28.0
freddie gibbs,68.0
jaala,16.0
enya,73.0
en,73.0
shye ben tzur / jonny greenwood / the rajasthan express,30.0
six organs of admittance,35.0
lotic,74.0
andrew hung,10.0
cavanaugh,9.0
kode9,27.0
logic,74.0
f(x),54.0
